user_id,chapter_mid,chgrade
327918,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
327918,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,55
327918,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,21
327918,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,60
327918,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,19
327918,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,47
327918,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,18
377856,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,12
377856,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
385060,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,16
385060,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
385060,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,44
385060,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,13
385060,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,52
385060,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,22
385060,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,14
447376,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,9
447376,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
466123,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,9
466123,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
485285,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,15
485285,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
485285,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,55
485285,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,56
485285,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,46
485285,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,21
485285,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,19
485285,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,17
518042,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
539300,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
638191,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
638191,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,19
638191,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,43
653272,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
763849,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,3.5
767913,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
767913,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,19
767913,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,14
795776,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,57
795776,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,16
795776,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,16
795776,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,44
795776,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,2
795776,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,15
795776,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,20
795776,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,53
865502,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,3
880304,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4
903726,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,4
903726,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
956653,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
959746,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4
961866,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,0
996140,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,14
996140,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1000632,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,1
1001912,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,20
1001912,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,32
1001912,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,22
1001912,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,15
1001912,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5.75
1001912,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,46
1001912,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,49
1019625,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,3
1032001,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,20
1032001,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,16
1032001,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
1045677,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,16
1045677,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,14
1045677,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,3
1045677,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,17
1045677,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,39
1056797,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
1064078,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
1078384,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,10
1078384,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,13
1078384,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
1087531,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4
1087531,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,17.625
1087531,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,13
1101334,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
1156112,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,54
1156112,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,19
1156112,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,21
1156112,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1156112,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,45
1156112,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,14.625
1156112,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,19
1156112,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,58
1164318,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
1165124,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,23
1165124,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,15
1165124,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,41
1165124,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,49
1165124,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,17
1165124,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,19
1165124,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1165124,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,52
1197534,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
1215107,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,37
1215107,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,9
1215107,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,11
1215107,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,9
1215107,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,3
1215107,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,14
1215107,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,12
1270838,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,2
1279845,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,19
1279845,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,18
1279845,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4
1279845,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,47.571428571428569
1279845,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,46
1279845,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,54
1279845,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,13.875
1279845,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,17.142857142857142
1315889,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1315889,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,20
1315889,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,6
1315889,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,28
1373587,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1384883,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,6
1393946,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1393946,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,8
1399793,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1399793,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,21
1399793,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,16
1399793,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,45
1399793,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,51
1399793,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,20
1399793,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,59
1399793,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,17
1402307,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,2
1441436,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
1468415,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4
1488898,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,16
1488898,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,20
1488898,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1498203,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,15
1498203,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,5
1533816,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,11.285714285714286
1533816,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1547696,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
1572149,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
1607640,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,3
1609153,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1609153,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,10
1631665,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
1638518,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
1730050,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,18
1730050,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
1734172,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1734172,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,5
1750423,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4
1750423,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,20
1775483,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,0.285714285714286
1775483,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,0
1787864,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
1787864,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,45
1787864,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,63
1787864,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,19
1787864,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,23
1787864,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,19
1787864,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,15
1787864,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,56
1818977,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
1818977,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,3
1821853,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
1832723,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
1838185,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1839130,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,18
1839130,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,56
1839130,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,56
1839130,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,22
1839130,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1839130,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,21
1839130,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,47
1839130,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,16
1845478,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1848964,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4
1848964,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,6
1853470,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,2
1858283,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4
1858283,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,7
1858283,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,16
1858283,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,10
1858283,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,29
1858283,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,30
1858283,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,22
1858283,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,10
1858697,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,19
1858697,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1871725,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,19
1871725,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4
1871725,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,21
1871725,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,44
1871725,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,51
1871725,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,16
1871725,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,21
1871796,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
1902126,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,15
1902126,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,21
1902126,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
1907623,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,16
1907623,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,47
1907623,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,23
1907623,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,51
1907623,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,58
1907623,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,18
1907623,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,3
1907623,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,18
1914689,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,26
1914689,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,16
1914689,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
1918318,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4.583333333333333
1925848,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,10
1925848,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,0
1925848,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,23
1925848,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,2
1925848,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,1.285714285714286
1939005,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
1954747,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4
1958858,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
1958858,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,17
1958858,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,44
1959200,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
2001983,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,10
2001983,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
2002159,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,7
2002369,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
2043832,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,12
2043832,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,13
2043832,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
2043832,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,8
2047561,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4.166666666666667
2047561,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,11.285714285714286
2078822,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5.833333333333333
2078822,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,21
2078822,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,21
2086078,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
2086078,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,19
2086078,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,2
2088266,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,18
2088266,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,17
2088266,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
2088266,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,21
2088266,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,50
2088266,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,13
2088266,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,42
2088266,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,48
2093974,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,56
2093974,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,21
2093974,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,16
2093974,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,21
2093974,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
2093974,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,48
2093974,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,19
2093974,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,60
2111192,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,5
2111192,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,13
2111192,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
2116880,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,49
2116880,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,20
2116880,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
2116880,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,44
2116880,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,14
2127905,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
2127905,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,15
2127905,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,2
2150575,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
2165955,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
2174912,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
2187768,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,21
2187768,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,14
2187768,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
2229673,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
2241550,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4
2269594,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,4
2269594,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
2279279,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,1
2279279,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
2293922,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,2
2297422,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,1
2309115,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,3
2319178,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
2319461,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,14
2319461,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
2322457,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,4
2322457,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,10
2322457,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4
2333014,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
2334100,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,3
2334100,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,4
2378900,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,8
2378900,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5
2379754,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
2386818,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
2388399,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,53
2388399,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,5.75
2388399,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,57
2388399,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,16
2388399,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,13
2388399,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,19
2388399,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,22
