user_id,seq_id,group_grade,max_seq_grade,seq_grade,chapter_id
7980,5-2,0.00666666666667,0.00666666666667,1.0,5
7980,5-4,0.04,0.04,1.0,5
7980,6-0,0.00666666666667,0.00666666666667,1.0,6
7980,6-1,0.00666666666667,0.00666666666667,1.0,6
7980,6-2,0.00666666666667,0.00666666666667,1.0,6
7980,7-1,0.01,0.01,1.0,7
7980,7-2,0.01,0.01,1.0,7
7980,7-4,0.04,0.04,1.0,7
7980,8-0,0.01,0.01,1.0,8
7980,8-1,0.01,0.01,1.0,8
7980,8-2,0.04,0.04,1.0,8
7980,9-0,0.01,0.01,1.0,9
7980,9-1,0.01,0.01,1.0,9
8695,1-0,0.0,0.0,,1
8695,1-2,0.0,0.0,,1
8695,1-3,0.01,0.02,0.5,1
8695,1-5,0.04,0.04,1.0,1
8695,2-0,0.005,0.005,1.0,2
8695,2-1,0.005,0.005,1.0,2
8695,2-3,0.005,0.005,1.0,2
8695,2-4,0.005,0.005,1.0,2
8695,2-6,0.0,0.04,0.0,2
9447,1-0,0.0,0.0,,1
9447,1-2,0.0,0.0,,1
9447,1-3,0.01,0.02,0.5,1
9447,1-5,0.04,0.04,1.0,1
9447,2-0,0.001,0.005,0.2,2
9447,2-1,0.005,0.005,1.0,2
9447,2-3,0.005,0.005,1.0,2
9447,2-4,0.0,0.005,0.0,2
9447,2-6,0.00666666666667,0.04,0.166666666667,2
9460,1-2,0.0,0.0,,1
9460,2-0,0.005,0.005,1.0,2
9460,2-1,0.005,0.005,1.0,2
9460,2-3,0.005,0.005,1.0,2
9460,2-4,0.005,0.005,1.0,2
9460,2-6,0.04,0.04,1.0,2
9460,3-1,0.00666666666667,0.00666666666667,1.0,3
9460,3-4,0.0,0.00666666666667,0.0,3
9460,3-5,0.00666666666667,0.00666666666667,1.0,3
9460,3-6,0.04,0.04,1.0,3
9460,4-0,0.005,0.005,1.0,4
9460,4-2,0.0,0.005,0.0,4
9460,4-4,0.005,0.005,1.0,4
9460,4-5,0.005,0.005,1.0,4
9460,5-0,0.00666666666667,0.00666666666667,1.0,5
9460,5-1,0.00666666666667,0.00666666666667,1.0,5
9460,5-2,0.00666666666667,0.00666666666667,1.0,5
9460,5-4,0.04,0.04,1.0,5
9460,6-0,0.00666666666667,0.00666666666667,1.0,6
9460,6-1,0.00666666666667,0.00666666666667,1.0,6
9460,6-2,0.00666666666667,0.00666666666667,1.0,6
9460,7-1,0.00666666666667,0.01,0.666666666667,7
9988,1-3,0.01,0.02,0.5,1
9988,1-5,0.04,0.04,1.0,1
9988,2-1,0.005,0.005,1.0,2
9988,2-3,0.005,0.005,1.0,2
9988,2-4,0.0,0.005,0.0,2
9988,2-6,0.04,0.04,1.0,2
9988,4-0,0.005,0.005,1.0,4
9988,4-2,0.0,0.005,0.0,4
9988,4-4,0.0,0.005,0.0,4
9988,4-5,0.005,0.005,1.0,4
9988,7-1,0.01,0.01,1.0,7
10284,1-3,0.02,0.02,1.0,1
10284,1-5,0.0,0.04,0.0,1
10284,2-0,0.005,0.005,1.0,2
10284,2-1,0.005,0.005,1.0,2
10284,2-3,0.005,0.005,1.0,2
10284,2-4,0.0,0.005,0.0,2
10906,1-5,0.0,0.04,0.0,1
10906,2-0,0.001,0.005,0.2,2
10906,2-1,0.005,0.005,1.0,2
10906,2-3,0.005,0.005,1.0,2
10906,2-4,0.005,0.005,1.0,2
10906,2-6,0.0,0.04,0.0,2
10906,3-1,0.00666666666667,0.00666666666667,1.0,3
10906,3-4,0.00666666666667,0.00666666666667,1.0,3
10906,4-0,0.005,0.005,1.0,4
10906,4-2,0.0,0.005,0.0,4
10906,4-4,0.005,0.005,1.0,4
10906,4-5,0.005,0.005,1.0,4
11075,1-0,0.0,0.0,,1
11075,1-2,0.0,0.0,,1
11075,1-3,0.01,0.02,0.5,1
11075,1-5,0.04,0.04,1.0,1
11075,10-0,0.01,0.01,1.0,10
11075,10-1,0.01,0.01,1.0,10
11075,11-1,0.14,0.14,1.0,11
11075,11-2,0.06,0.06,1.0,11
11075,12-1,0.312,0.4,0.78,12
11075,2-0,0.005,0.005,1.0,2
11075,2-1,0.005,0.005,1.0,2
11075,2-3,0.005,0.005,1.0,2
11075,2-4,0.005,0.005,1.0,2
11075,2-6,0.04,0.04,1.0,2
11075,3-1,0.00666666666667,0.00666666666667,1.0,3
11075,3-4,0.00666666666667,0.00666666666667,1.0,3
11075,3-5,0.00666666666667,0.00666666666667,1.0,3
11075,3-6,0.04,0.04,1.0,3
11075,4-0,0.005,0.005,1.0,4
11075,4-2,0.0,0.005,0.0,4
11075,4-4,0.005,0.005,1.0,4
11075,4-5,0.005,0.005,1.0,4
11075,5-0,0.00666666666667,0.00666666666667,1.0,5
11075,5-1,0.00666666666667,0.00666666666667,1.0,5
11075,5-2,0.00333333333333,0.00666666666667,0.5,5
11075,5-4,0.04,0.04,1.0,5
11075,6-0,0.00666666666667,0.00666666666667,1.0,6
11075,6-1,0.00666666666667,0.00666666666667,1.0,6
11075,6-2,0.00666666666667,0.00666666666667,1.0,6
11075,7-1,0.01,0.01,1.0,7
11075,7-2,0.01,0.01,1.0,7
11075,7-4,0.04,0.04,1.0,7
11075,8-0,0.01,0.01,1.0,8
11075,8-1,0.01,0.01,1.0,8
11075,8-2,0.04,0.04,1.0,8
11075,9-0,0.01,0.01,1.0,9
11075,9-1,0.01,0.01,1.0,9
11849,1-0,0.0,0.0,,1
11849,1-2,0.0,0.0,,1
11849,1-3,0.02,0.02,1.0,1
11849,1-5,0.04,0.04,1.0,1
11849,2-0,0.005,0.005,1.0,2
11849,2-1,0.005,0.005,1.0,2
11849,2-3,0.005,0.005,1.0,2
11849,2-4,0.005,0.005,1.0,2
11849,2-6,0.04,0.04,1.0,2
11849,3-1,0.00666666666667,0.00666666666667,1.0,3
11849,3-4,0.00666666666667,0.00666666666667,1.0,3
11849,3-5,0.00666666666667,0.00666666666667,1.0,3
11849,3-6,0.04,0.04,1.0,3
11849,4-0,0.005,0.005,1.0,4
11849,4-2,0.0,0.005,0.0,4
11849,4-4,0.005,0.005,1.0,4
11849,4-5,0.005,0.005,1.0,4
11849,5-0,0.00666666666667,0.00666666666667,1.0,5
11849,5-1,0.00666666666667,0.00666666666667,1.0,5
11849,5-2,0.00666666666667,0.00666666666667,1.0,5
12436,1-0,0.0,0.0,,1
12436,1-3,0.02,0.02,1.0,1
12436,1-5,0.04,0.04,1.0,1
12436,10-0,0.01,0.01,1.0,10
12436,10-1,0.01,0.01,1.0,10
12436,11-1,0.14,0.14,1.0,11
12436,12-1,0.352,0.4,0.88,12
12436,2-0,0.005,0.005,1.0,2
12436,2-1,0.005,0.005,1.0,2
12436,2-3,0.005,0.005,1.0,2
12436,2-4,0.005,0.005,1.0,2
12436,2-6,0.04,0.04,1.0,2
12436,3-1,0.00333333333333,0.00666666666667,0.5,3
12436,3-4,0.00666666666667,0.00666666666667,1.0,3
12436,3-5,0.00666666666667,0.00666666666667,1.0,3
12436,3-6,0.04,0.04,1.0,3
12436,4-0,0.005,0.005,1.0,4
12436,4-2,0.005,0.005,1.0,4
12436,4-4,0.0,0.005,0.0,4
12436,5-0,0.00666666666667,0.00666666666667,1.0,5
12436,5-1,0.00666666666667,0.00666666666667,1.0,5
12436,5-2,0.00666666666667,0.00666666666667,1.0,5
12436,5-4,0.04,0.04,1.0,5
12436,6-0,0.00666666666667,0.00666666666667,1.0,6
12436,6-1,0.00666666666667,0.00666666666667,1.0,6
12436,6-2,0.00666666666667,0.00666666666667,1.0,6
12436,7-1,0.01,0.01,1.0,7
12436,7-2,0.01,0.01,1.0,7
12436,7-4,0.04,0.04,1.0,7
12436,8-0,0.01,0.01,1.0,8
12436,8-1,0.01,0.01,1.0,8
12436,9-0,0.01,0.01,1.0,9
12436,9-1,0.01,0.01,1.0,9
12621,1-0,0.0,0.0,,1
12621,1-2,0.0,0.0,,1
12621,1-3,0.0,0.02,0.0,1
12621,1-5,0.04,0.04,1.0,1
12621,10-0,0.01,0.01,1.0,10
12621,2-0,0.005,0.005,1.0,2
12621,2-1,0.005,0.005,1.0,2
12621,2-3,0.005,0.005,1.0,2
12621,2-4,0.0,0.005,0.0,2
12621,2-6,0.04,0.04,1.0,2
12621,3-1,0.00666666666667,0.00666666666667,1.0,3
12621,3-4,0.00666666666667,0.00666666666667,1.0,3
12621,3-5,0.00666666666667,0.00666666666667,1.0,3
12621,3-6,0.04,0.04,1.0,3
12621,4-0,0.005,0.005,1.0,4
12621,4-2,0.0,0.005,0.0,4
12621,4-4,0.0,0.005,0.0,4
12621,4-5,0.0,0.005,0.0,4
12621,5-0,0.00666666666667,0.00666666666667,1.0,5
12621,5-1,0.00666666666667,0.00666666666667,1.0,5
12621,5-2,0.00666666666667,0.00666666666667,1.0,5
12621,5-4,0.04,0.04,1.0,5
12685,1-0,0.0,0.0,,1
12685,1-2,0.0,0.0,,1
12685,1-3,0.01,0.02,0.5,1
12685,1-5,0.04,0.04,1.0,1
12685,2-0,0.003,0.005,0.6,2
14902,1-0,0.0,0.0,,1
14902,1-2,0.0,0.0,,1
14902,1-3,0.0,0.02,0.0,1
14902,1-5,0.04,0.04,1.0,1
14902,2-0,0.001,0.005,0.2,2
14902,2-1,0.005,0.005,1.0,2
14902,2-3,0.005,0.005,1.0,2
14902,2-4,0.005,0.005,1.0,2
14902,3-1,0.00666666666667,0.00666666666667,1.0,3
14902,3-4,0.00666666666667,0.00666666666667,1.0,3
14902,3-5,0.00666666666667,0.00666666666667,1.0,3
14902,4-0,0.0,0.005,0.0,4
14902,4-2,0.0,0.005,0.0,4
14902,4-4,0.0,0.005,0.0,4
14902,4-5,0.0,0.005,0.0,4
14902,5-0,0.00291666666667,0.00666666666667,0.4375,5
14902,5-1,0.00333333333333,0.00666666666667,0.5,5
14902,5-2,0.00666666666667,0.00666666666667,1.0,5
14902,6-0,0.00666666666667,0.00666666666667,1.0,6
14902,6-1,0.00666666666667,0.00666666666667,1.0,6
15430,1-0,0.0,0.0,,1
15430,1-2,0.0,0.0,,1
15430,1-3,0.02,0.02,1.0,1
15430,1-5,0.04,0.04,1.0,1
15430,10-0,0.01,0.01,1.0,10
15430,10-1,0.01,0.01,1.0,10
15430,11-1,0.0966666666666,0.14,0.690476190476,11
15430,11-2,0.06,0.06,1.0,11
15430,12-1,0.384,0.4,0.96,12
15430,2-0,0.001,0.005,0.2,2
15430,2-1,0.005,0.005,1.0,2
15430,2-3,0.005,0.005,1.0,2
15430,2-4,0.005,0.005,1.0,2
15430,2-6,0.04,0.04,1.0,2
15430,3-1,0.00666666666667,0.00666666666667,1.0,3
15430,3-4,0.00666666666667,0.00666666666667,1.0,3
15430,3-5,0.00666666666667,0.00666666666667,1.0,3
15430,3-6,0.04,0.04,1.0,3
15430,4-0,0.005,0.005,1.0,4
15430,4-2,0.0,0.005,0.0,4
15430,4-4,0.005,0.005,1.0,4
15430,4-5,0.0,0.005,0.0,4
15430,5-0,0.00666666666667,0.00666666666667,1.0,5
15430,5-1,0.00333333333333,0.00666666666667,0.5,5
15430,5-2,0.00666666666667,0.00666666666667,1.0,5
15430,5-4,0.04,0.04,1.0,5
15430,6-0,0.00666666666667,0.00666666666667,1.0,6
15430,6-1,0.00666666666667,0.00666666666667,1.0,6
15430,6-2,0.00666666666667,0.00666666666667,1.0,6
15430,7-1,0.01,0.01,1.0,7
15430,7-2,0.01,0.01,1.0,7
15430,7-4,0.04,0.04,1.0,7
15430,8-0,0.01,0.01,1.0,8
15430,8-1,0.01,0.01,1.0,8
15430,8-2,0.04,0.04,1.0,8
15430,9-0,0.01,0.01,1.0,9
15430,9-1,0.01,0.01,1.0,9
16734,1-0,0.0,0.0,,1
16734,1-2,0.0,0.0,,1
16734,1-3,0.01,0.02,0.5,1
16734,1-5,0.04,0.04,1.0,1
16734,2-0,0.001,0.005,0.2,2
16734,2-1,0.005,0.005,1.0,2
16734,2-3,0.005,0.005,1.0,2
16734,2-4,0.005,0.005,1.0,2
16734,2-6,0.0266666666667,0.04,0.666666666667,2
16734,3-1,0.00666666666667,0.00666666666667,1.0,3
16734,3-4,0.00666666666667,0.00666666666667,1.0,3
16734,4-0,0.005,0.005,1.0,4
16734,4-2,0.005,0.005,1.0,4
16734,4-4,0.005,0.005,1.0,4
16734,4-5,0.005,0.005,1.0,4
16734,5-0,0.0,0.00666666666667,0.0,5
16825,3-1,0.00666666666667,0.00666666666667,1.0,3
16825,3-4,0.00666666666667,0.00666666666667,1.0,3
16825,4-0,0.005,0.005,1.0,4
16825,4-2,0.005,0.005,1.0,4
16825,4-4,0.005,0.005,1.0,4
16825,4-5,0.005,0.005,1.0,4
17614,1-3,0.01,0.02,0.5,1
17614,1-5,0.04,0.04,1.0,1
17614,10-0,0.01,0.01,1.0,10
17614,10-1,0.01,0.01,1.0,10
17614,12-1,0.352,0.4,0.88,12
17614,2-0,0.005,0.005,1.0,2
17614,2-1,0.005,0.005,1.0,2
17614,2-3,0.005,0.005,1.0,2
17614,2-4,0.005,0.005,1.0,2
17614,2-6,0.04,0.04,1.0,2
17614,3-1,0.00666666666667,0.00666666666667,1.0,3
17614,3-4,0.00666666666667,0.00666666666667,1.0,3
17614,3-5,0.00666666666667,0.00666666666667,1.0,3
17614,3-6,0.04,0.04,1.0,3
17614,4-0,0.0,0.005,0.0,4
17614,4-2,0.0,0.005,0.0,4
